article_id,column1,column2,column3,column4
6205500, Individuals or households||| Local government|||International or multinational governance institutions, Technological/infrastructural||| Institutional||| Ecosystem-based|||Behavioural/cultural, General climate impacts||| Precipitation variability||| Drought, Other2||| Food security||| Work and economic growth|||Poverty
6205501,International or multinational governance institutions||| National government, Institutional|||Behavioural/cultural||| Ecosystem-based, Precipitation variability||| General climate impacts, Food security||| Gender equality||| Terrestrial & freshwater ecosystem services
6205502, Individuals or households, Ecosystem-based||| Technological/infrastructural, Drought||| General climate impacts||| Extreme precipitation and inland flooding||| Precipitation variability, Food security|||Poverty
6205503, Civil Society- sub-national or local||| Local government||| Sub-national government||| National government, Ecosystem-based|||Behavioural/cultural, Drought||| General climate impacts||| Extreme precipitation and inland flooding, Food security||| Other2||| Health & wellbeing|||Poverty
6205504, Individuals or households||| Civil Society- international/multinational/national||| National government||| Sub-national government, Ecosystem-based||| Institutional, Drought||| General climate impacts, Food security||| Health & wellbeing
6205506, Individuals or households, Ecosystem-based||| Technological/infrastructural, Drought||| Other1, Clean water & sanitation||| Food security|||Poverty
6205507, Individuals or households||| Sub-national government, Ecosystem-based||| Technological/infrastructural, General climate impacts||| Drought||| Precipitation variability, Food security
6205508, Civil Society- international/multinational/national||| Individuals or households|||International or multinational governance institutions, Institutional||| Technological/infrastructural, Other1|||Sea level rise,Poverty||| Inequalities (Other than gender)||| Sustainable cities & communities
6205509, Civil Society- sub-national or local, Ecosystem-based||| Institutional|||Behavioural/cultural, Extreme precipitation and inland flooding|||Sea level rise, Other2
6205510, Civil Society- sub-national or local, Institutional|||Behavioural/cultural, Drought||| General climate impacts||| Other1, Inequalities (Other than gender)||| Food security||| Other2
6205511, Civil Society- international/multinational/national||| National government||| Local government|||International or multinational governance institutions, Institutional, Extreme precipitation and inland flooding||| Drought, Education||| Food security||| Inequalities (Other than gender)|||Poverty
6205512, Individuals or households||| Civil Society- sub-national or local||| Private sector SMEs||| Civil Society- international/multinational/national||| Private sector corporations, Institutional, Drought||| Extreme precipitation and inland flooding, Food security||| Work and economic growth||| Consumption & production|||Poverty
6205513, Individuals or households,Behavioural/cultural, Drought||| Extreme precipitation and inland flooding||| General climate impacts||| Increased frequency and intensity of extreme heat, Work and economic growth
6205514, Local government||| Private sector SMEs||| National government||| Individuals or households, Institutional||| Ecosystem-based||| Technological/infrastructural, Extreme precipitation and inland flooding|||Sea level rise||| Other1, Sustainable cities & communities
6205515, Local government, Institutional, Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| General climate impacts, No information or not assessed2
6205517, Individuals or households||| Private sector SMEs, Technological/infrastructural, Increased frequency and intensity of extreme heat, Energy security||| Industry/innovation/technology||| Sustainable cities & communities||| Health & wellbeing
6205518, Civil Society- international/multinational/national||| Individuals or households||| Local government||| Other||| National government, Ecosystem-based|||Behavioural/cultural||| Institutional, Extreme precipitation and inland flooding||| General climate impacts||| Other1||| Drought, Clean water & sanitation||| Food security||| Sustainable cities & communities||| Terrestrial & freshwater ecosystem services|||Poverty
6205519, Individuals or households||| Local government||| National government||| Civil Society- sub-national or local, Ecosystem-based|||Behavioural/cultural, Drought||| General climate impacts||| Precipitation variability, Clean water & sanitation||| Terrestrial & freshwater ecosystem services||| Consumption & production
6205523, National government, Institutional, General climate impacts, Food security||| Work and economic growth|||Poverty
6205524, Civil Society- international/multinational/national|||International or multinational governance institutions||| Individuals or households, Ecosystem-based||| Technological/infrastructural, Drought||| Precipitation variability, Food security||| Terrestrial & freshwater ecosystem services
6205525, Individuals or households,Behavioural/cultural||| Ecosystem-based||| Technological/infrastructural, Precipitation variability||| Drought, Food security||| Work and economic growth
6205526,International or multinational governance institutions, Ecosystem-based|||Behavioural/cultural, Precipitation variability, Food security||| Terrestrial & freshwater ecosystem services
6205528, Civil Society- sub-national or local||| Individuals or households, Ecosystem-based|||Behavioural/cultural||| Institutional, General climate impacts||| Increased frequency and intensity of extreme heat||| Precipitation variability||| Other1||| Drought||| Extreme precipitation and inland flooding,Poverty||| Work and economic growth||| Other2||| Consumption & production||| Inequalities (Other than gender)||| Health & wellbeing||| Food security
6205529, Individuals or households||| Other,Behavioural/cultural||| Technological/infrastructural, Drought||| Precipitation variability||| Extreme precipitation and inland flooding||| Other1, Terrestrial & freshwater ecosystem services||| Food security
6205530, Individuals or households||| Private sector corporations||| National government|||International or multinational governance institutions, Technological/infrastructural, Drought, Food security|||Poverty
6205531, Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Local government||| National government||| Private sector corporations||| Sub-national government||| Other||| Private sector SMEs, Institutional||| Ecosystem-based, Drought||| Extreme precipitation and inland flooding||| Other1, Other2
6205532, Civil Society- international/multinational/national||| Individuals or households||| National government||| Private sector corporations|||International or multinational governance institutions||| Civil Society- sub-national or local, Technological/infrastructural||| Ecosystem-based, Drought||| Precipitation variability||| Increased frequency and intensity of extreme heat||| Other1, Food security|||Poverty
6205533, Civil Society- sub-national or local||| Individuals or households|||International or multinational governance institutions, Ecosystem-based|||Behavioural/cultural, Drought||| Extreme precipitation and inland flooding, Food security
6205534, Civil Society- sub-national or local||| Other,Behavioural/cultural, General climate impacts, Education||| Other2
6205535, Individuals or households||| Local government||| National government, Ecosystem-based|||Behavioural/cultural||| Institutional||| Technological/infrastructural, General climate impacts||| Other1||| Drought||| Increased frequency and intensity of extreme heat, Food security|||Poverty
6205536, Individuals or households,Behavioural/cultural||| Technological/infrastructural, Drought||| Precipitation variability,Poverty||| Food security
6205537, Other, Ecosystem-based, General climate impacts||| Other1, Terrestrial & freshwater ecosystem services
6205538, Individuals or households, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Drought||| Precipitation variability||| General climate impacts, Work and economic growth|||Poverty||| Food security
6205539, Individuals or households||| Sub-national government, Technological/infrastructural|||Behavioural/cultural, Precipitation variability||| Extreme precipitation and inland flooding||| Drought, Food security
6205540, Individuals or households, Ecosystem-based||| Technological/infrastructural, General climate impacts||| Other1||| Precipitation variability, Work and economic growth||| Food security||| Health & wellbeing
6205541,International or multinational governance institutions, Ecosystem-based, General climate impacts, Terrestrial & freshwater ecosystem services
6205542, National government||| Local government||| Civil Society- international/multinational/national, Institutional||| Technological/infrastructural|||Behavioural/cultural, Extreme precipitation and inland flooding, Other2
6205544,International or multinational governance institutions||| Local government||| Civil Society- sub-national or local||| National government||| Civil Society- international/multinational/national, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Extreme precipitation and inland flooding|||Sea level rise, Sustainable cities & communities
6205545, Individuals or households||| Civil Society- sub-national or local||| Local government||| Sub-national government,Behavioural/cultural, Precipitation variability||| Other1,Poverty||| Food security
6205547, Individuals or households||| Local government||| National government|||International or multinational governance institutions, Technological/infrastructural||| Institutional, General climate impacts,Poverty||| Inequalities (Other than gender)
6205548, Individuals or households, Technological/infrastructural, Drought||| Precipitation variability, Food security
6214200, Individuals or households||| National government|||International or multinational governance institutions,Behavioural/cultural, General climate impacts||| Precipitation variability||| Drought, Health & wellbeing||| Work and economic growth||| Food security
6214201, Individuals or households||| Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Local government||| National government,Behavioural/cultural||| Institutional||| Technological/infrastructural, Increased frequency and intensity of extreme heat||| Precipitation variability||| General climate impacts, Food security
6214202, Individuals or households||| National government||| Local government||| Sub-national government,Behavioural/cultural||| Institutional, Drought||| General climate impacts, Food security
6214203, Individuals or households, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Drought||| Precipitation variability||| Extreme precipitation and inland flooding||| General climate impacts, Food security||| Clean water & sanitation||| Consumption & production|||Poverty||| Health & wellbeing
6214204, Individuals or households, Ecosystem-based, General climate impacts||| Drought, Food security
6214205, Individuals or households, Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural, Drought||| General climate impacts||| Precipitation variability||| Extreme precipitation and inland flooding||| Other1, Food security||| Consumption & production||| Gender equality|||Poverty
6214206, Individuals or households, Technological/infrastructural||| Ecosystem-based|||Behavioural/cultural, General climate impacts||| Drought||| Increased frequency and intensity of extreme heat||| Precipitation variability, Clean water & sanitation||| Inequalities (Other than gender)||| Terrestrial & freshwater ecosystem services||| Food security
6214207, Individuals or households, Ecosystem-based||| Technological/infrastructural, Precipitation variability||| Drought||| Other1||| Extreme precipitation and inland flooding, Food security|||Poverty||| Health & wellbeing
6214208, Civil Society- sub-national or local||| Individuals or households||| Other||| Sub-national government, Ecosystem-based||| Institutional||| Technological/infrastructural|||Behavioural/cultural, General climate impacts||| Other1, Gender equality||| Food security||| Peace justice & strong institutions
6214209, Individuals or households||| Local government||| National government||| Civil Society- sub-national or local||| Private sector corporations, Institutional, General climate impacts, Food security|||Poverty||| Industry/innovation/technology
6214210, Individuals or households,Behavioural/cultural, Precipitation variability||| Drought||| Other1, Consumption & production||| Food security
6214211, Individuals or households,Behavioural/cultural||| Technological/infrastructural, Drought||| Increased frequency and intensity of extreme heat||| General climate impacts, Food security|||Poverty
6214212, Individuals or households||| Local government||| National government, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural||| Institutional, Extreme precipitation and inland flooding, Consumption & production||| Health & wellbeing|||Poverty||| Food security||| Work and economic growth||| Industry/innovation/technology
6214214, Individuals or households||| National government, Technological/infrastructural||| Ecosystem-based||| Institutional, Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| Precipitation variability, Sustainable cities & communities|||Poverty
6214215, Individuals or households, Technological/infrastructural, Drought||| Extreme precipitation and inland flooding||| Precipitation variability, Food security
6214216, Individuals or households, Ecosystem-based|||Behavioural/cultural, Drought||| Precipitation variability, Food security||| Health & wellbeing|||Poverty
6214217, Civil Society- international/multinational/national||| Individuals or households|||International or multinational governance institutions||| National government, Institutional||| Ecosystem-based|||Behavioural/cultural, Drought, Food security||| Terrestrial & freshwater ecosystem services
6214218, Individuals or households, Technological/infrastructural||| Ecosystem-based, Drought, Food security||| Terrestrial & freshwater ecosystem services
6214219, Individuals or households||| National government,Behavioural/cultural||| Institutional||| Technological/infrastructural, General climate impacts||| Precipitation variability, Food security
6214220, Individuals or households, Ecosystem-based|||Behavioural/cultural, General climate impacts||| Drought||| Precipitation variability, Food security
6214221, Individuals or households,Behavioural/cultural||| Technological/infrastructural, General climate impacts||| Precipitation variability||| Drought||| Extreme precipitation and inland flooding, Food security||| Sustainable cities & communities||| Health & wellbeing
6214222, Civil Society- international/multinational/national||| Individuals or households||| National government||| Local government||| Civil Society- sub-national or local,Behavioural/cultural||| Ecosystem-based, Extreme precipitation and inland flooding|||Sea level rise||| General climate impacts||| Increased frequency and intensity of extreme heat||| Rising ocean temperature and ocean acidification, Consumption & production||| Marine & coastal ecosystem services||| Food security
6214223, Individuals or households||| Local government, Institutional||| Technological/infrastructural, General climate impacts||| No information or not assessed1, No information or not assessed2
6214224, Individuals or households||| Private sector corporations||| Civil Society- international/multinational/national||| Private sector SMEs, Ecosystem-based, Drought||| Precipitation variability||| Extreme precipitation and inland flooding, Food security||| Work and economic growth
6214225, Individuals or households||| Civil Society- sub-national or local, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Precipitation variability||| General climate impacts, No information or not assessed2||| Work and economic growth
6214226, Individuals or households, Technological/infrastructural||| Ecosystem-based, Drought||| General climate impacts||| Precipitation variability, Food security|||Poverty
6214227, Local government|||International or multinational governance institutions||| National government||| Individuals or households, Institutional|||Behavioural/cultural||| Ecosystem-based, Drought||| General climate impacts||| Precipitation variability, Food security
6214228, Individuals or households||| Local government,Behavioural/cultural||| Technological/infrastructural, Drought||| Extreme precipitation and inland flooding||| Precipitation variability||| Increased frequency and intensity of extreme heat||| Other1, Food security
6214229, Individuals or households,Behavioural/cultural, Drought, Food security||| Marine & coastal ecosystem services
6214230, Individuals or households,Behavioural/cultural, Drought||| Extreme precipitation and inland flooding, Food security
6214231, Individuals or households||| Local government||| Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Sub-national government, Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural, Drought||| Extreme precipitation and inland flooding, Consumption & production|||Poverty||| Food security
6214232, Individuals or households,Behavioural/cultural, Drought||| General climate impacts, Food security|||Poverty
6214233, Individuals or households,Behavioural/cultural||| Technological/infrastructural||| Ecosystem-based, Other1||| General climate impacts||| Increased frequency and intensity of extreme heat, Food security||| Gender equality
6214234, Individuals or households||| Local government, Ecosystem-based|||Behavioural/cultural, General climate impacts||| Drought, Food security||| Consumption & production
6214235, Individuals or households||| Local government||| Other||| Civil Society- sub-national or local, Technological/infrastructural||| Ecosystem-based, Drought||| Precipitation variability||| Other1, Food security||| Gender equality|||Poverty
6214236, Individuals or households||| Civil Society- sub-national or local, Ecosystem-based||| Technological/infrastructural, Precipitation variability||| General climate impacts||| Drought, Food security||| Consumption & production|||Poverty
6214237, Individuals or households||| National government||| Local government,Behavioural/cultural||| Institutional, Drought||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| Precipitation variability||| General climate impacts,Poverty||| Food security||| Consumption & production
6214238, Individuals or households||| Local government, Ecosystem-based, Drought||| Extreme precipitation and inland flooding||| Precipitation variability, No information or not assessed2||| Food security
6214239, Individuals or households||| National government||| Civil Society- sub-national or local||| Civil Society- international/multinational/national||| Sub-national government, Technological/infrastructural|||Behavioural/cultural||| Institutional||| Ecosystem-based, General climate impacts||| Drought||| Increased frequency and intensity of extreme heat, Food security||| Sustainable cities & communities||| Consumption & production||| Energy security
6214240, Individuals or households||| Private sector SMEs, Ecosystem-based|||Behavioural/cultural, Drought||| General climate impacts||| Extreme precipitation and inland flooding, Food security||| Health & wellbeing|||Poverty||| Consumption & production
6214241, Individuals or households, Institutional|||Behavioural/cultural, General climate impacts, Food security|||Poverty
6214242, Individuals or households||| Local government||| National government, Ecosystem-based|||Behavioural/cultural, Drought||| Precipitation variability, Food security|||Poverty
6214243, Local government||| Individuals or households, Institutional||| Technological/infrastructural||| Ecosystem-based, General climate impacts||| Increased frequency and intensity of extreme heat||| Precipitation variability||| Drought||| Extreme precipitation and inland flooding, Consumption & production||| Food security||| Work and economic growth||| Energy security|||Poverty
6214244, Individuals or households||| Local government||| Other,Behavioural/cultural||| Technological/infrastructural, Drought||| Precipitation variability||| Increased frequency and intensity of extreme heat||| Other1, Food security|||Poverty
6214246, Individuals or households||| National government,Behavioural/cultural, Drought||| Precipitation variability, Food security
6214247, Individuals or households||| Civil Society- sub-national or local||| Civil Society- international/multinational/national, Institutional||| Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural, General climate impacts||| Drought||| Extreme precipitation and inland flooding, Food security||| Peace justice & strong institutions||| Consumption & production
6214248, Individuals or households,Behavioural/cultural||| Ecosystem-based||| Technological/infrastructural, General climate impacts||| Drought||| Other1, Food security
6214249, Sub-national government||| Individuals or households||| Civil Society- sub-national or local, Technological/infrastructural||| Ecosystem-based, General climate impacts||| Increased frequency and intensity of extreme heat||| Precipitation variability, Food security|||Poverty
6214250, Individuals or households, Ecosystem-based||| Technological/infrastructural, General climate impacts||| Other1||| Drought, Food security||| Consumption & production||| Energy security
6214251, Individuals or households,Behavioural/cultural||| Technological/infrastructural, Precipitation variability||| Drought||| General climate impacts||| Other1, Food security|||Poverty
6214254, Civil Society- sub-national or local||| Local government||| National government||| Other, Institutional||| Technological/infrastructural, Extreme precipitation and inland flooding||| General climate impacts||| Drought, Consumption & production||| Food security||| Peace justice & strong institutions||| Sustainable cities & communities||| Terrestrial & freshwater ecosystem services
6214255, Civil Society- sub-national or local||| Civil Society- international/multinational/national||| Individuals or households||| National government, Institutional|||Behavioural/cultural, Drought||| Precipitation variability||| General climate impacts, Food security|||Poverty||| Inequalities (Other than gender)
6214256, Individuals or households,Behavioural/cultural||| Institutional||| Technological/infrastructural, Precipitation variability|||Sea level rise||| Increased frequency and intensity of extreme heat||| General climate impacts, Other2
6214257, Civil Society- sub-national or local||| Local government||| Private sector corporations||| Individuals or households||| Civil Society- international/multinational/national, Technological/infrastructural||| Ecosystem-based||| Institutional, Extreme precipitation and inland flooding,Poverty||| Inequalities (Other than gender)
6214258, Individuals or households,Behavioural/cultural, Extreme precipitation and inland flooding||| General climate impacts||| Drought||| Increased frequency and intensity of extreme heat,Poverty||| Work and economic growth
6214260, Civil Society- sub-national or local||| Individuals or households||| Local government, Institutional|||Behavioural/cultural||| Technological/infrastructural, Extreme precipitation and inland flooding|||Sea level rise, Clean water & sanitation||| Work and economic growth
6214262, Civil Society- sub-national or local||| Local government||| National government, Technological/infrastructural, Increased frequency and intensity of extreme heat, Sustainable cities & communities
6214263, Local government||| National government||| Individuals or households, Institutional||| Technological/infrastructural|||Behavioural/cultural, Extreme precipitation and inland flooding||| Drought||| Increased frequency and intensity of extreme heat|||Sea level rise||| Precipitation variability, Sustainable cities & communities
6214268, Private sector corporations||| National government||| Individuals or households, Institutional||| Technological/infrastructural, Extreme precipitation and inland flooding||| General climate impacts, No information or not assessed2 |||  Sustainable cities & communities
6216006, Individuals or households, Ecosystem-based|||Behavioural/cultural, Precipitation variability||| Extreme precipitation and inland flooding, Food security||| Gender equality
6216010, Individuals or households||| National government||| Other||| Civil Society- sub-national or local, Technological/infrastructural|||Behavioural/cultural, Drought||| Precipitation variability, Food security||| Consumption & production
6216012, Other, Ecosystem-based, Increased frequency and intensity of extreme heat||| Precipitation variability, Terrestrial & freshwater ecosystem services
6216013, Individuals or households||| National government||| Other, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Increased frequency and intensity of extreme heat||| Precipitation variability||| Drought||| Extreme precipitation and inland flooding, Consumption & production||| Other2
6216014, Civil Society- sub-national or local||| National government||| Individuals or households, Technological/infrastructural|||Behavioural/cultural, General climate impacts, Food security
6216015, Individuals or households||| Civil Society- sub-national or local, Ecosystem-based||| Institutional|||Behavioural/cultural, Drought||| Extreme precipitation and inland flooding||| Precipitation variability, Food security|||Poverty
6216017, Individuals or households, Technological/infrastructural, Drought||| General climate impacts, Food security|||Poverty||| Health & wellbeing
6216019, Individuals or households||| Other,Behavioural/cultural||| Technological/infrastructural||| Institutional, General climate impacts||| Precipitation variability||| Drought,Poverty||| Health & wellbeing||| Work and economic growth
6216022, Individuals or households,Behavioural/cultural, Drought, Food security
6216024, Individuals or households||| Civil Society- international/multinational/national||| National government|||International or multinational governance institutions, Ecosystem-based||| Technological/infrastructural, Drought||| Precipitation variability, Food security
6216026, Individuals or households||| Local government||| Civil Society- sub-national or local,Behavioural/cultural, General climate impacts||| Drought, Consumption & production||| Health & wellbeing||| Clean water & sanitation||| Food security
6216028, Individuals or households,Behavioural/cultural||| Ecosystem-based||| Technological/infrastructural, No information or not assessed1||| Other1||| Drought||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| Precipitation variability, Food security|||Poverty
6216030, Individuals or households||| Local government||| Private sector corporations, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Drought||| Increased frequency and intensity of extreme heat, Consumption & production||| Food security|||Poverty
6216034, Civil Society- international/multinational/national||| National government,Behavioural/cultural, General climate impacts, Consumption & production||| Health & wellbeing|||Poverty||| Food security
6216036, Individuals or households,Behavioural/cultural, Extreme precipitation and inland flooding, Sustainable cities & communities
6216038, Individuals or households||| National government||| Civil Society- sub-national or local,Behavioural/cultural||| Institutional||| Technological/infrastructural||| Ecosystem-based, Increased frequency and intensity of extreme heat||| Precipitation variability, Clean water & sanitation||| Health & wellbeing|||Poverty||| Sustainable cities & communities
6216039, Civil Society- international/multinational/national||| National government||| Civil Society- sub-national or local||| Individuals or households, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Drought||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| Precipitation variability, Terrestrial & freshwater ecosystem services
6216040, Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Local government||| Private sector SMEs||| Sub-national government, Institutional||| Ecosystem-based, Extreme precipitation and inland flooding||| General climate impacts||| Increased frequency and intensity of extreme heat||| Rising ocean temperature and ocean acidification|||Sea level rise||| Precipitation variability, Marine & coastal ecosystem services||| Food security||| Health & wellbeing||| Clean water & sanitation
6216041, Civil Society- sub-national or local||| Individuals or households, Technological/infrastructural|||Behavioural/cultural, Drought||| Precipitation variability||| Increased frequency and intensity of extreme heat||| Extreme precipitation and inland flooding||| General climate impacts, Food security||| Consumption & production||| Education||| Health & wellbeing||| Sustainable cities & communities
6216042, Local government||| National government||| Sub-national government, Institutional||| Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural,Sea level rise||| Rising ocean temperature and ocean acidification||| General climate impacts||| Increased frequency and intensity of extreme heat, Sustainable cities & communities||| Marine & coastal ecosystem services
6216043, Individuals or households, Technological/infrastructural||| Ecosystem-based|||Behavioural/cultural, Extreme precipitation and inland flooding|||Sea level rise, Food security|||Poverty||| Work and economic growth
6216044, Individuals or households, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based||| Institutional, Extreme precipitation and inland flooding||| Precipitation variability,Poverty||| Food security
6216045, Individuals or households||| Other, Technological/infrastructural|||Behavioural/cultural, Drought||| Precipitation variability||| Extreme precipitation and inland flooding, Food security|||Poverty||| Terrestrial & freshwater ecosystem services
6216047, Individuals or households||| Other,Behavioural/cultural||| Ecosystem-based||| Technological/infrastructural, Drought||| Extreme precipitation and inland flooding||| Precipitation variability, Food security|||Poverty
6216048, Local government||| National government||| Private sector SMEs||| Individuals or households, Institutional, General climate impacts, Consumption & production||| Food security||| Clean water & sanitation||| Work and economic growth|||Poverty
6216049, Individuals or households||| Other, Institutional||| Technological/infrastructural|||Behavioural/cultural, Precipitation variability, Peace justice & strong institutions||| Food security
6216050, Civil Society- international/multinational/national||| Civil Society- sub-national or local||| National government||| Private sector corporations|||International or multinational governance institutions, Ecosystem-based||| Technological/infrastructural||| Institutional, Drought||| General climate impacts||| Precipitation variability||| Other1, Food security|||Poverty||| Terrestrial & freshwater ecosystem services||| Health & wellbeing
6216051, Individuals or households||| Other, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Drought||| General climate impacts, Food security|||Poverty
6216052, Other||| Individuals or households, Technological/infrastructural||| Ecosystem-based|||Behavioural/cultural, Drought||| Extreme precipitation and inland flooding||| Other1, Food security||| Energy security
6216053, Individuals or households||| Other, Technological/infrastructural, General climate impacts||| Increased frequency and intensity of extreme heat||| Other1, Food security||| Other2
6216054,International or multinational governance institutions, Institutional, Extreme precipitation and inland flooding||| Precipitation variability||| Other1, Other2
6216055, Individuals or households,Behavioural/cultural, Drought||| Precipitation variability, Food security
6216056, Local government||| National government||| Other||| Sub-national government, Institutional, Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| Other1|||Sea level rise, Inequalities (Other than gender)|||Poverty
6216057, Individuals or households||| Other, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Drought||| Increased frequency and intensity of extreme heat||| Other1||| Precipitation variability, Food security
6216059, Individuals or households, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based||| Institutional, Drought||| Extreme precipitation and inland flooding, Food security||| No information or not assessed2
6216060, Individuals or households, Ecosystem-based|||Behavioural/cultural, Drought||| General climate impacts||| Precipitation variability||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat, Consumption & production|||Poverty||| Food security
6216061, Individuals or households||| Other, Technological/infrastructural|||Behavioural/cultural, Drought||| Other1||| Increased frequency and intensity of extreme heat, Food security|||Poverty||| Terrestrial & freshwater ecosystem services
6216062, Civil Society- sub-national or local||| Other, Institutional||| Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Extreme precipitation and inland flooding||| General climate impacts||| Precipitation variability, Food security||| Sustainable cities & communities
6216063, Civil Society- international/multinational/national||| Local government||| National government||| Other||| Civil Society- sub-national or local||| Individuals or households, Institutional||| Ecosystem-based, General climate impacts||| Drought||| Extreme precipitation and inland flooding||| Precipitation variability, Food security|||Poverty
6216064, National government||| Private sector corporations|||International or multinational governance institutions||| Sub-national government||| Civil Society- international/multinational/national||| Civil Society- sub-national or local, Technological/infrastructural||| Institutional||| Ecosystem-based, Other1, Food security||| Health & wellbeing||| Terrestrial & freshwater ecosystem services||| Industry/innovation/technology
6216065, Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Individuals or households||| Other||| Local government|||International or multinational governance institutions||| National government, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Drought||| Extreme precipitation and inland flooding||| General climate impacts|||Sea level rise||| Increased frequency and intensity of extreme heat||| Precipitation variability, Food security||| Gender equality
6216066, Individuals or households||| Other,Behavioural/cultural||| Technological/infrastructural, Extreme precipitation and inland flooding||| Drought||| Precipitation variability, Food security|||Poverty
